"X","Y"
5,102.67
5,99.89
5,102.64
5,98.36
5,102.11
5,106.72
5,97.13
5,101.4
5,107.37
5,99.62
5,106.3
5,103.51
5,99.35
5,101.28
5,101.27
5,96.31
5,104.97
5,98.87
5,99.7
5,107.42
5,105.74
5,103.85
5,105.14
5,104.64
5,102.35
5,96.56
5,99.18
5,99.36
5,96.52
5,114.53
5,102.13
5,93.4
5,99.84
5,100.59
5,110.21
5,95.08
5,98.02
5,96.48
5,103.49
5,103.4
5,93.74
5,95.39
5,101.87
5,98.21
5,105.2
5,97.32
5,102.62
5,98.35
5,98.03
5,95.47
5,95.25
5,100.8
5,113.46
5,99.83
5,101.46
5,102.22
5,108.88
5,99.19
5,94.99
5,108.17
5,101.58
5,107.27
5,97.15
5,93.96
5,101.11
5,99.16
5,94.17
5,98.54
5,99.19
5,99.51
5,104.58
5,90.74
5,102.46
5,94.02
5,96.4
5,100.39
5,93.9
5,100.46
5,106.14
5,100.95
5,102.43
5,110.41
5,94.9
5,104.26
5,101.55
5,98.06
5,95.56
5,100.33
5,104.47
5,102.57
5,105.47
5,103.44
5,100.21
5,94.94
5,102.94
5,101.31
5,99.02
5,99.78
5,93.21
5,101.46
5,88.89
5,95.76
5,99.38
5,107.49
5,101.61
5,100.66
5,107.15
5,104.35
5,97.85
5,104.77
5,101.66
5,103.25
5,101.6
5,97.75
5,101.55
5,98.63
5,96.92
5,102.83
5,95.06
5,92.79
5,99.86
5,100.13
5,98.29
5,96.26
5,104.96
5,105.39
5,92.38
5,101.65
5,103.68
5,96.94
5,94.2
5,98.85
5,107.23
5,104.58
5,100.67
5,102.7
5,84.26
5,101.18
5,108.43
5,95.84
5,103.88
5,99.38
5,95.55
5,90.81
5,100.78
5,102.24
5,106.84
5,100.51
5,103.29
5,97.07
5,100.01
5,101.71
5,99.13
5,101.78
5,107
5,104.39
5,97.25
5,99.24
5,99.18
5,98.3
5,96.93
5,96.35
5,98.7
5,96.05
5,101.38
5,95.7
5,97.21
5,93.1
5,94.42
5,102.89
5,101.23
5,101.98
5,104.79
5,111.8
5,98.89
5,91.87
5,93.39
5,100.73
5,98.19
5,99.7
5,101.29
5,107.44
5,102.37
5,98.28
5,90.99
5,102.34
5,106
5,100.81
5,97.19
5,97.67
5,100.82
5,104.68
5,101.47
5,102.72
5,98.97
5,93.93
5,99.67
5,95.89
5,100.56
5,94.26
5,102.9
5,101.56
5,97.85
5,99.49
5,105.57
5,103.45
5,101.61
5,102.43
5,105.28
5,108.6
5,103.77
5,110.77
5,96.64
5,92.95
5,95.62
5,106.07
5,95.43
5,96.41
5,94.53
5,98.46
5,96.28
5,95.39
5,107.75
5,104.63
5,101.92
5,98.02
5,96.34
5,101.28
5,96.48
5,99.71
5,101.51
5,98.26
5,99.72
5,89.76
5,100.02
5,89.13
5,95.61
5,95.2
5,102.45
5,95.15
5,104.3
5,99.94
5,102.06
5,102.06
5,90.95
5,100.84
5,101.82
5,102.07
5,101.35
5,100.46
5,98.41
5,96.34
5,97.59
5,99.95
5,102.16
5,102.21
5,103.08
5,96.42
5,94.5
5,101.1
5,91.09
5,103.93
5,102.73
5,95.52
5,96.48
5,100.51
5,101.44
5,96.62
5,110.56
5,97.59
5,98.75
5,100.92
5,100.34
5,95.97
5,101.23
5,107.5
5,100.44
5,107.2
5,94.94
5,104.51
5,103.46
5,100.82
5,104.48
5,102.94
5,101.72
5,103.65
5,97.88
5,101.58
5,108.7
5,100.55
5,94.78
5,93.61
5,95.44
